result,Rank,Waku,Horse_Name,Course,Distance,Ninki
1,1,3,ガルナッチャ,ダ,1800,5
1,2,6,ジェロボーム,ダ,1800,1
1,3,3,ジュネス,ダ,1800,4
0,4,1,ヴェリエーロ,ダ,1800,9
0,5,8,ゾールシカ,ダ,1800,10
0,6,5,トップブランド,ダ,1800,3
0,7,2,プレシャススパート,ダ,1800,6
0,8,4,ラカルマ,ダ,1800,14
0,9,7,ルージュキッス,ダ,1800,8
0,10,7,メイショウコバコ,ダ,1800,7
0,11,6,エレガントヴォイス,ダ,1800,2
0,12,4,グレイトサンディー,ダ,1800,11
0,13,8,ゼンダンスネーク,ダ,1800,13
0,14,5,ラブキーセキ,ダ,1800,12
1,1,5,グレートコート,ダ,1200,3
1,2,1,サンキーウエスト,ダ,1200,1
1,3,7,シゲルメイオウセイ,ダ,1200,5
0,4,2,ソルレオーネ,ダ,1200,10
0,5,1,ブンロート,ダ,1200,2
0,6,7,スイスライツ,ダ,1200,4
0,7,6,タイセイダンク,ダ,1200,7
0,8,8,ジュンヒトカップ,ダ,1200,11
0,9,4,カズモンレアーレ,ダ,1200,6
0,10,6,コッヘル,ダ,1200,8
0,11,4,フレアリボン,ダ,1200,13
0,12,8,サーブルルミエール,ダ,1200,12
0,13,3,マホウショ,ダ,1200,9
0,14,3,ミサトアンバー,ダ,1200,16
0,15,2,エクセルチェイサー,ダ,1200,14
0,16,5,スーコーサファイア,ダ,1200,15
1,1,6,ラストマン,ダ,1800,1
1,2,4,オンザフェーヴル,ダ,1800,3
1,3,2,テンチシンメイ,ダ,1800,4
0,4,5,エリモグリッター,ダ,1800,9
0,5,5,ベストランナー,ダ,1800,7
0,6,7,パースピレーション,ダ,1800,6
0,7,1,トーセンワンダー,ダ,1800,2
0,8,3,ピースボヌール,ダ,1800,5
0,9,8,カッティングロック,ダ,1800,8
0,10,8,ヤギリエピファクン,ダ,1800,10
0,11,1,ユニバーサルタイム,ダ,1800,16
0,12,6,キタノエイカン,ダ,1800,15
0,13,4,フジコウキ,ダ,1800,11
0,14,2,ソイチーノ,ダ,1800,13
0,15,7,シゲルペガススザ,ダ,1800,12
0,16,3,サイモンサンバ,ダ,1800,14
1,1,6,ジョイウイン,ダ,1200,1
1,2,7,インプルソ,ダ,1200,4
1,3,3,マイネルピカソ,ダ,1200,11
0,4,2,ニーケススマイル,ダ,1200,2
0,5,4,トーセンマイベスト,ダ,1200,6
0,6,2,ゼンダンロマン,ダ,1200,5
0,7,5,ブロウンアウェイ,ダ,1200,8
0,8,5,キイエクスプロード,ダ,1200,15
0,9,1,リネンミッション,ダ,1200,9
0,10,6,シゲルエリス,ダ,1200,12
0,11,8,ティンパニ,ダ,1200,7
0,12,8,サノノヴィグラス,ダ,1200,10
0,13,3,スタニングビスタ,ダ,1200,14
0,14,1,ナイトコマンダー,ダ,1200,3
0,15,4,キョウエイブリッツ,ダ,1200,16
0,16,7,ザサンアップライト,ダ,1200,13
1,1,2,アポロヴィクトリア,芝,1600,3
1,2,1,ヒガシヴァルキリー,芝,1600,11
1,3,8,リーガルバトル,芝,1600,1
0,4,8,フォワードアゲン,芝,1600,10
0,5,4,プラットフォーマー,芝,1600,2
0,6,1,トーヨースターオー,芝,1600,8
0,7,3,ココニアル,芝,1600,12
0,8,7,カウイダンス,芝,1600,6
0,9,4,グローバリズム,芝,1600,5
0,10,2,サンデープリンセス,芝,1600,9
0,11,6,ネオストーリー,芝,1600,4
0,12,5,クリムゾンオーラ,芝,1600,16
0,13,5,ディレクトゥス,芝,1600,15
0,14,3,ゴールドハーレー,芝,1600,7
0,15,7,アテザムール,芝,1600,13
0,16,6,レッドカルマン,芝,1600,14
